,0,1,2,3,4,5,6,7,8,9,posters,links,raw_info
0,/title/80127001,Resurrection: Ertugrul,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",TV-14,2 Seasons,2014,"CreatorsMehmet Bozdağ, CastEngin Altan DüzyatanSerdar GökhanHülya DarcanKaan TaşanerEsra BilgiçOsman SoykutSerdar DenizCengiz CoşkunReshad StrikHande Subaşı","Mehmet Bozdağ, Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı","[u'TV Shows', u'International TV Shows', u'TV Action & Adventure', u'TV Dramas', u'Period Pieces', u'Exciting', u'Suspenseful']",https://occ-0-1361-1007.1.nflxso.net/art/61e47/3aae550639732c55925ef057657f26da45861e47.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/361f1/6a457709c0343abb69c45f18a32ecb29f22361f1.jpg);""></div>",/title/80127001,"<p class=""watch-page-link"" data-href=""/title/80127001""><span class=""watch-page-link-title"" data-href=""/title/80127001"">Resurrection: Ertugrul</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2014</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">2 Seasons</span></span></p>"
1,/title/80037484,Kurt Seyit & Sura,A Turkish lieutenant and the daughter of Russian nobles fight for their love against forces of family and social expectation and historical events.,TV-14,1 Season,2014,"CreatorsNermin Bezmen, CastKıvanç TatlıtuğFarah Zeynep AbdullahFahriye EvcenUshan ÇakırBirkan Sokullu","Nermin Bezmen, Kıvanç Tatlıtuğ, Farah Zeynep Abdullah, Fahriye Evcen, Ushan Çakır, Birkan Sokullu","[u'TV Shows', u'International TV Shows', u'Romantic TV Shows', u'TV Dramas', u'Exciting', u'Romantic']",https://occ-0-1361-1007.1.nflxso.net/art/56125/686955de190209f0afd187e6f1cb81cb40b56125.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/31699/64c4fc07170463acc64146fc2f3427d849331699.jpg);""></div>",/title/80037484,"<p class=""watch-page-link"" data-href=""/title/80037484""><span class=""watch-page-link-title"" data-href=""/title/80037484"">Kurt Seyit &amp; Sura</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2014</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
2,/title/80089559,Magnificent Century,Palace intrigue roils a mighty empire in this drama tracing the reign of Ottoman Sultan Suleyman the Magnificent and the slave who became his wife.,TV-14,1 Season,2011,CastHalit ErgençMeryem UzerliNur FettahoğluOkan YalabıkNebahat ÇehreSelma ErgeçFiliz AhmetSelim BayraktarSelen ÖztürkPınar Çağlar GençtürkFehmi KaraarslanArif ErkinMurat Şahan,"Halit Ergenç, Meryem Uzerli, Nur Fettahoğlu, Okan Yalabık, Nebahat Çehre, Selma Ergeç, Filiz Ahmet, Selim Bayraktar, Selen Öztürk, Pınar Çağlar Gençtürk, Fehmi Karaarslan, Arif Erkin, Murat Şahan","[u'TV Shows', u'International TV Shows', u'TV Dramas', u'Period Pieces']",https://occ-0-1361-1007.1.nflxso.net/art/4d509/a8b3c5a18a7a23f83387fe61c00937d388f4d509.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/5379b/a0ef9b299aee623343adef083ac5f32ec825379b.jpg);""></div>",/title/80089559,"<p class=""watch-page-link"" data-href=""/title/80089559""><span class=""watch-page-link-title"" data-href=""/title/80089559"">Magnificent Century</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2011</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
3,/title/80119381,Winter Sun,"Years after ruthless businessmen kill his father and order the death of his twin brother, a modest fisherman adopts a new persona to exact revenge.",TV-14,1 Season,2014,CastŞükrü ÖzyıldızAslı EnverŞenay GürlerBaşak ParlakMahir GünşirayHakan BoyavHakan GerçekBerrak KuşGamze Süner AtayMehmet Esen,"Şükrü Özyıldız, Aslı Enver, Şenay Gürler, Başak Parlak, Mahir Günşiray, Hakan Boyav, Hakan Gerçek, Berrak Kuş, Gamze Süner Atay, Mehmet Esen","[u'TV Shows', u'International TV Shows', u'TV Dramas', u'Emotional', u'Suspenseful']",https://occ-0-1361-1007.1.nflxso.net/art/999c4/7bb2d97fafc4209303ca5c043ba111d88c1999c4.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/9c645/38b54a979865bf17671eac9e4066c9355ff9c645.jpg);""></div>",/title/80119381,"<p class=""watch-page-link"" data-href=""/title/80119381""><span class=""watch-page-link-title"" data-href=""/title/80119381"">Winter Sun</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2014</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
4,/title/80106774,Love Bird,"Spending school vacations with her aunt, feisty orphan Feride falls for her sophisticated older cousin, Kamran. Love blossoms, but can it flourish?",TV-14,1 Season,2013,CastFahriye EvcenBurak ÖzçivitBegüm KütükDeniz CelilogluMehmet ÖzgürElif İskenderHande ErçelEbru HelvacıoğluBengü Ergin,"Fahriye Evcen, Burak Özçivit, Begüm Kütük, Deniz Celiloglu, Mehmet Özgür, Elif İskender, Hande Erçel, Ebru Helvacıoğlu, Bengü Ergin","[u'TV Shows', u'International TV Shows', u'Romantic TV Shows', u'TV Dramas', u'Emotional', u'Romantic']",https://occ-0-1361-1007.1.nflxso.net/art/1b470/498a3d4356564c8cbceadf47db10676a4f91b470.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/e065c/63815bd5bf65e4a8295ab1734adbbbdb5f8e065c.jpg);""></div>",/title/80106774,"<p class=""watch-page-link"" data-href=""/title/80106774""><span class=""watch-page-link-title"" data-href=""/title/80106774"">Love Bird</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2013</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
5,/title/80149594,Intersection,"Two wealthy businessmen with car obsessions cross paths with an idealist pediatrician. Love enters the equation, and their lives change for good.",TV-14,3 Seasons,2016,Castİbrahim ÇelikkolBelçim BilginAlican YücesoyTeoman KumbaracıbaşıSerdar YeğinTülay GünalGözde CığacıFerit AktuğRojda DemirerAybars Kartal Özson,"İbrahim Çelikkol, Belçim Bilgin, Alican Yücesoy, Teoman Kumbaracıbaşı, Serdar Yeğin, Tülay Günal, Gözde Cığacı, Ferit Aktuğ, Rojda Demirer, Aybars Kartal Özson","[u'TV Shows', u'International TV Shows', u'Romantic TV Shows', u'TV Dramas', u'Emotional', u'Romantic']",https://occ-0-1361-1007.1.nflxso.net/art/fbbf7/d1ab3ad2a9a832e2b402d1de5a4e84d665bfbbf7.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/9e109/a77a938bdc5071789764f77a2f1ba178a9c9e109.jpg);""></div>",/title/80149594,"<p class=""watch-page-link"" data-href=""/title/80149594""><span class=""watch-page-link-title"" data-href=""/title/80149594"">Intersection</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2016</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">3 Seasons</span></span></p>"
6,/title/80089558,1001 Nights,"Widowed and impoverished, a single mother desperately trying to raise the money her child needs for cancer treatment receives a life-changing offer.",TV-14,1 Season,2006,CastHalit ErgençBergüzar KorelTardu FlordunCeyda DüvenciMetin ÇekmezTomris İncerErgün Demir,"Halit Ergenç, Bergüzar Korel, Tardu Flordun, Ceyda Düvenci, Metin Çekmez, Tomris İncer, Ergün Demir","[u'TV Shows', u'International TV Shows', u'TV Dramas', u'TV Soaps', u'Emotional', u'Sentimental']",https://occ-0-1361-1007.1.nflxso.net/art/0ab72/55655a37bbb2469581cd14612372f86b8e20ab72.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/d29e5/20de0e6542c0550f4f1a9c03a1c9a341719d29e5.jpg);""></div>",/title/80089558,"<p class=""watch-page-link"" data-href=""/title/80089558""><span class=""watch-page-link-title"" data-href=""/title/80089558"">1001 Nights</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2006</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
7,/title/80121973,Behzat Ç.,An Ankara homicide detective with a dark personal life and a disdain for rules and political correctness solves murders and fights police corruption.,TV-MA,1 Season,2010,"CreatorsEmrah Serbes, CastErdal BeşikçioğluFatih Artmanİnanç KonukçuSeda BakanBerkan ŞalAyça ErenBerke ÜzrekCanan ErgüderEge AydanEray EserolHakan Hatipoğlu","Emrah Serbes, Erdal Beşikçioğlu, Fatih Artman, İnanç Konukçu, Seda Bakan, Berkan Şal, Ayça Eren, Berke Üzrek, Canan Ergüder, Ege Aydan, Eray Eserol, Hakan Hatipoğlu","[u'TV Shows', u'Crime TV Shows', u'International TV Shows', u'TV Dramas', u'Crime TV Dramas', u'Gritty']",https://occ-0-1361-1007.1.nflxso.net/art/94668/7e1a7e56e937e3a8dc5cd903a860341b86494668.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/8169e/b6e6c58942dfff8980bca66b4cea30a6b8e8169e.jpg);""></div>",/title/80121973,"<p class=""watch-page-link"" data-href=""/title/80121973""><span class=""watch-page-link-title"" data-href=""/title/80121973"">Behzat Ç.</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2010</span><span class=""watch-page-link-maturity"">TV-MA</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
8,/title/80037129,Ezel,A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.,TV-14,1 Season,2009,CastKenan İmirzalıoğluCansu DereHaluk BilginerYiğit ÖzşenerBarış FalayBurçin TerzioğluBade İşçilSarp Akkayaİpek BilginSalih KalyonTuncel KurtizSedef AvcıBerrak Tüzünataçİsmail Filiz,"Kenan İmirzalıoğlu, Cansu Dere, Haluk Bilginer, Yiğit Özşener, Barış Falay, Burçin Terzioğlu, Bade İşçil, Sarp Akkaya, İpek Bilgin, Salih Kalyon, Tuncel Kurtiz, Sedef Avcı, Berrak Tüzünataç, İsmail Filiz","[u'TV Shows', u'Crime TV Shows', u'International TV Shows', u'TV Dramas', u'Crime TV Dramas', u'Emotional', u'Suspenseful']",https://occ-0-1361-1007.1.nflxso.net/art/c2825/6ceceec1c245bcb8b13f58a6908da9655cec2825.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/1d594/91d8031d22a9d5be9da0c1b5b1b840ae4471d594.jpg);""></div>",/title/80037129,"<p class=""watch-page-link"" data-href=""/title/80037129""><span class=""watch-page-link-title"" data-href=""/title/80037129"">Ezel</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2009</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
9,/title/80114998,The Girl I Loved,Two young lovers from very different worlds find their dreams upended by disapproving family members and an unexpected twist of fate.,TV-MA,1 Season,2011,CastBülent İnalÇetin TekindorGülcan ArslanHakan KurtaşŞefika Ümit TolunOnuryay EvrentanArzu Gamze KılınçUlaş TorunEzgi ÇelikCansu Koçİlayda AlişanUğur DemirpehlivanSongül BayoğluSaydam YeniayMine TüfekçioğluHüseyin TaşUfuk Aşar,"Bülent İnal, Çetin Tekindor, Gülcan Arslan, Hakan Kurtaş, Şefika Ümit Tolun, Onuryay Evrentan, Arzu Gamze Kılınç, Ulaş Torun, Ezgi Çelik, Cansu Koç, İlayda Alişan, Uğur Demirpehlivan, Songül Bayoğlu, Saydam Yeniay, Mine Tüfekçioğlu, Hüseyin Taş, Ufuk Aşar","[u'TV Shows', u'International TV Shows', u'Romantic TV Shows', u'TV Dramas', u'Emotional', u'Romantic', u'Understated']",https://occ-0-1361-1007.1.nflxso.net/art/dcf2b/d8b2645597943b5646a7c4728f1e54ac973dcf2b.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/b61ba/24c1340e29f0c294495dad29c7fb301f60ab61ba.jpg);""></div>",/title/80114998,"<p class=""watch-page-link"" data-href=""/title/80114998""><span class=""watch-page-link-title"" data-href=""/title/80114998"">The Girl I Loved</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2011</span><span class=""watch-page-link-maturity"">TV-MA</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
